instance,lower_bound,baseline_best,baseline_gap_%,baseline_time_s,dqn_best,dqn_gap_%,dqn_time_s,gap_improvement,speedup
tai20_5_0,1232,1286,4.383,0.05,1286,4.383,0.09,0.0,0.56
tai20_5_1,1290,1365,5.814,0.04,1365,5.814,0.11,0.0,0.36
tai20_5_2,1073,1132,5.499,0.03,1132,5.499,0.12,0.0,0.25
tai20_5_3,1268,1317,3.864,0.04,1302,2.681,0.11,1.183,0.36
tai20_5_4,1198,1277,6.594,0.04,1277,6.594,0.12,0.0,0.33
tai20_5_5,1180,1224,3.729,0.04,1224,3.729,0.11,0.0,0.36
tai20_5_6,1226,1251,2.039,0.04,1251,2.039,0.12,0.0,0.33
tai20_5_7,1170,1222,4.444,0.04,1206,3.077,0.12,1.367,0.33
tai20_5_8,1206,1273,5.556,0.05,1273,5.556,0.12,0.0,0.42
tai20_5_9,1082,1151,6.377,0.04,1151,6.377,0.12,0.0,0.33
tai20_10_0,1448,1629,12.5,0.04,1629,12.5,0.11,0.0,0.36
tai20_10_1,1479,1736,17.377,0.04,1723,16.498,0.12,0.879,0.33
tai20_10_2,1407,1538,9.311,0.04,1532,8.884,0.14,0.427,0.29
tai20_10_3,1308,1429,9.251,0.05,1428,9.174,0.21,0.077,0.24
tai20_10_4,1325,1498,13.057,0.06,1488,12.302,0.22,0.755,0.27
tai20_10_5,1290,1436,11.318,0.07,1436,11.318,0.22,0.0,0.32
tai20_10_6,1388,1538,10.807,0.04,1531,10.303,0.16,0.504,0.25
tai20_10_7,1363,1599,17.315,0.06,1599,17.315,0.13,0.0,0.46
tai20_10_8,1472,1647,11.889,0.05,1647,11.889,0.13,0.0,0.38
tai20_10_9,1356,1647,21.46,0.05,1647,21.46,0.13,0.0,0.38
tai20_20_0,1911,2395,25.327,0.03,2374,24.228,0.15,1.099,0.2
tai20_20_1,1711,2148,25.541,0.03,2148,25.541,0.14,0.0,0.21
tai20_20_2,1844,2397,29.989,0.03,2397,29.989,0.13,0.0,0.23
tai20_20_3,1810,2251,24.365,0.03,2248,24.199,0.16,0.166,0.19
tai20_20_4,1899,2392,25.961,0.03,2390,25.856,0.14,0.105,0.21
tai20_20_5,1875,2331,24.32,0.03,2329,24.213,0.16,0.107,0.19
tai20_20_6,1875,2387,27.307,0.03,2355,25.6,0.14,1.707,0.21
tai20_20_7,1880,2249,19.628,0.03,2249,19.628,0.15,0.0,0.2
tai20_20_8,1840,2312,25.652,0.07,2306,25.326,0.15,0.326,0.47
tai20_20_9,1900,2290,20.526,0.02,2277,19.842,0.12,0.684,0.17
tai50_5_0,2712,2733,0.774,0.06,2729,0.627,0.17,0.147,0.35
tai50_5_1,2808,2843,1.246,0.05,2843,1.246,0.16,0.0,0.31
tai50_5_2,2596,2624,1.079,0.05,2624,1.079,0.17,0.0,0.29
tai50_5_3,2740,2782,1.533,0.04,2782,1.533,0.17,0.0,0.24
tai50_5_4,2837,2864,0.952,0.05,2864,0.952,0.17,0.0,0.29
tai50_5_5,2793,2846,1.898,0.06,2846,1.898,0.17,0.0,0.35
tai50_5_6,2689,2747,2.157,0.06,2746,2.12,0.22,0.037,0.27
